position,title,place_id,data_id,data_cid,reviews_link,photos_link,gps_coordinates,place_id_search,rating,reviews,price,type,address,open_state,hours,operating_hours,phone,website,service_options,thumbnail,description,unclaimed_listing,user_review
2,OGBG Bar & Restaurang,ChIJ68j4lmfzT0YRFCokz3NgpNo,0x464ff36796f8c8eb:0xdaa46073cf242a14,15754823446961596948,https://serpapi.com/search.json?data_id=0x464ff36796f8c8eb%3A0xdaa46073cf242a14&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff36796f8c8eb%3A0xdaa46073cf242a14&engine=google_maps_photos&hl=sv,"{'latitude': 57.705892, 'longitude': 11.9585109}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff36796f8c8eb%3A0xdaa46073cf242a14%218m2%213d57.705892%214d11.9585109&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.0,630.0,$$,Asiatisk restaurang,"Skeppsbroplatsen 1, 411 21 Göteborg, Sverige",Öppet ⋅ Stänger 23,Öppet ⋅ Stänger 23,"{'torsdag': '11:30–13:30', 'fredag': '11:30–13:30', 'lördag': '16–01', 'söndag': 'Stängt', 'måndag': '11:30–13:30', 'tisdag': '11:30–13:30', 'onsdag': '11:30–13:30'}",+46 31 752 28 10,http://www.ogbg.se/,{'servering': True},https://lh5.googleusercontent.com/p/AF1QipOeCAu-BHK7-l30tSCBasH9skSqiNPo7heVOb-9=w122-h92-k-no,,,
3,Restaurang Bryggeriet Avenyn - Restaurang Göteborg,ChIJjWVOGHDzT0YRyChVoFykme0,0x464ff370184e658d:0xed99a45ca05528c8,17120896176159533256,https://serpapi.com/search.json?data_id=0x464ff370184e658d%3A0xed99a45ca05528c8&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff370184e658d%3A0xed99a45ca05528c8&engine=google_maps_photos&hl=sv,"{'latitude': 57.7012845, 'longitude': 11.9731203}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff370184e658d%3A0xed99a45ca05528c8%218m2%213d57.7012845%214d11.9731203&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,3.6,1950.0,$$,Restaurang,"Kungsportsavenyen 3, 411 36 Göteborg, Sverige",Öppet ⋅ Stänger 23,Öppet ⋅ Stänger 23,"{'torsdag': '11–23', 'fredag': '11–04', 'lördag': '11:30–04', 'söndag': '12–23', 'måndag': '11–23', 'tisdag': '11–23', 'onsdag': '11–23'}",+46 31 711 92 60,http://www.bryggeriet.se/,"{'servering': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipMjmv9jt2g28NGFNJ_aQArXKKcHcvZMICvMBODO=w122-h92-k-no,,,
4,Boqueria Göteborg,ChIJOW1hNknzT0YRWhhhK4JySWo,0x464ff34936616d39:0x6a4972822b61185a,7658778544719337562,https://serpapi.com/search.json?data_id=0x464ff34936616d39%3A0x6a4972822b61185a&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff34936616d39%3A0x6a4972822b61185a&engine=google_maps_photos&hl=sv,"{'latitude': 57.697431599999994, 'longitude': 11.978616299999999}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff34936616d39%3A0x6a4972822b61185a%218m2%213d57.697431599999994%214d11.978616299999999&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,3.8,394.0,,Tapasrestaurang,"Götaplatsen 9, 411 34 Göteborg, Sverige",Öppet ⋅ Stänger 00,Öppet ⋅ Stänger 00,"{'torsdag': '16–00', 'fredag': '16–02', 'lördag': '12–01', 'söndag': '12–01', 'måndag': '16–23', 'tisdag': '16–23', 'onsdag': '16–00'}",+46 31 766 94 00,http://www.boqueriagoteborg.se/,"{'servering': True, 'hämtning_utanför': True, 'hemkörning': True}",https://lh5.googleusercontent.com/p/AF1QipPQW2lo3by2kxVr3ywk1cLzFKlxSlHyy4w7aIEL=w137-h92-k-no,,,
5,View Skybar & Restaurant,ChIJFWDRBWjzT0YRoh1PLj-P3M8,0x464ff36805d16015:0xcfdc8f3f2e4f1da2,14978003962250075554,https://serpapi.com/search.json?data_id=0x464ff36805d16015%3A0xcfdc8f3f2e4f1da2&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff36805d16015%3A0xcfdc8f3f2e4f1da2&engine=google_maps_photos&hl=sv,"{'latitude': 57.7037796, 'longitude': 11.9565266}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff36805d16015%3A0xcfdc8f3f2e4f1da2%218m2%213d57.7037796%214d11.9565266&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.2,606.0,$$,Restaurang,"Stora Badhusgatan 26, 411 21 Göteborg, Sverige",Öppet ⋅ Stänger 00,Öppet ⋅ Stänger 00,"{'torsdag': '15–00', 'fredag': '15–01', 'lördag': '14–01', 'söndag': '15–23', 'måndag': '15–00', 'tisdag': '15–00', 'onsdag': '15–00'}",+46 31 750 10 00,http://www.rivertonview.se/,"{'servering': True, 'hämtning_utanför': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipMT1F-dte9Tjp1AcBf930X1eL9m-NoT_F5nV_A=w138-h92-k-no,,,
6,Restaurant 2112,ChIJPSytJGbzT0YRKUOpf_qtaeM,0x464ff36624ad2c3d:0xe369adfa7fa94329,16386820010559488809,https://serpapi.com/search.json?data_id=0x464ff36624ad2c3d%3A0xe369adfa7fa94329&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff36624ad2c3d%3A0xe369adfa7fa94329&engine=google_maps_photos&hl=sv,"{'latitude': 57.7044925, 'longitude': 11.9619077}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff36624ad2c3d%3A0xe369adfa7fa94329%218m2%213d57.7044925%214d11.9619077&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.5,2331.0,$$,Hamburgerrestaurang,"Magasinsgatan 5, 411 18 Göteborg, Sverige",Öppet ⋅ Stänger 00,Öppet ⋅ Stänger 00,"{'torsdag': '16–00', 'fredag': '16–02', 'lördag': '14–02', 'söndag': '16–00', 'måndag': '16–00', 'tisdag': '16–00', 'onsdag': '16–00'}",+46 31 787 58 12,http://restaurang2112.com/,"{'servering': True, 'avhämtning': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipNSCtrBlG8bZ9buROZNPb_AsD7yfGudVexw0fig=w163-h92-k-no,Trevlig svensk pub känd för sina burgare. Svensk restaurang med signaturburgare och öl i en exklusiv pubmiljö med bord på terrassen.,,
7,Magazzino,ChIJh7FFOmbzT0YR4hIrHDBJhSA,0x464ff3663a45b187:0x208549301c2b12e2,2343359652096053986,https://serpapi.com/search.json?data_id=0x464ff3663a45b187%3A0x208549301c2b12e2&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff3663a45b187%3A0x208549301c2b12e2&engine=google_maps_photos&hl=sv,"{'latitude': 57.7046089, 'longitude': 11.9617834}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff3663a45b187%3A0x208549301c2b12e2%218m2%213d57.7046089%214d11.9617834&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.4,1165.0,$$,Italiensk restaurang,"Magasinsgatan 3, 411 18 Göteborg, Sverige",Öppet ⋅ Stänger 23,Öppet ⋅ Stänger 23,"{'torsdag': '17–23', 'fredag': '16–23:30', 'lördag': '16–23:30', 'söndag': 'Stängt', 'måndag': '17–23', 'tisdag': '17–23', 'onsdag': '17–23'}",+46 31 13 33 10,http://magazzino.se/,"{'servering': True, 'avhämtning': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipOei0mANpoNIjw-QrFwVVbvKtFHFgL3vg19Q_sP=w122-h92-k-no,Trivsam italiensk restaurang. Mat och drinkar inspirerade av Italien serveras i en enkel restaurang med uteservering.,,
8,Norda,ChIJdQAYWGPzT0YRcw6quirUNwo,0x464ff36358180075:0xa37d42abaaa0e73,736290344083787379,https://serpapi.com/search.json?data_id=0x464ff36358180075%3A0xa37d42abaaa0e73&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff36358180075%3A0xa37d42abaaa0e73&engine=google_maps_photos&hl=sv,"{'latitude': 57.7079775, 'longitude': 11.974586299999999}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff36358180075%3A0xa37d42abaaa0e73%218m2%213d57.7079775%214d11.974586299999999&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.1,804.0,$$$,Svensk restaurang,"Drottningtorget 10, 411 03 Göteborg, Sverige",Öppet ⋅ Stänger 22,Öppet ⋅ Stänger 22,"{'torsdag': '11:30–14', 'fredag': '11:30–14', 'lördag': '17–22', 'söndag': '17–22', 'måndag': '11:30–14', 'tisdag': '11:30–14', 'onsdag': '11:30–14'}",+46 31 61 90 60,http://restaurangnorda.se/,"{'servering': True, 'avhämtning': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipN2GMso_Oxii1R38behoFlgKs9ZOTed5rhOvzY0=w122-h92-k-no,,,
9,Sorellina,ChIJGWdHVW_zT0YRqlO3AZGvUgo,0x464ff36f55476719:0xa52af9101b753aa,743849925803463594,https://serpapi.com/search.json?data_id=0x464ff36f55476719%3A0xa52af9101b753aa&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff36f55476719%3A0xa52af9101b753aa&engine=google_maps_photos&hl=sv,"{'latitude': 57.7032672, 'longitude': 11.964636899999999}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff36f55476719%3A0xa52af9101b753aa%218m2%213d57.7032672%214d11.964636899999999&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.2,580.0,$$,Italiensk restaurang,"Västra Hamngatan 20, 411 17 Göteborg, Sverige",Öppet ⋅ Stänger 22,Öppet ⋅ Stänger 22,"{'torsdag': '11–22', 'fredag': '11–23', 'lördag': '12–23', 'söndag': '13–20:30', 'måndag': '11–22', 'tisdag': '11–22', 'onsdag': '11–22'}",+46 31 13 14 00,http://www.sorellina.se/,"{'servering': True, 'avhämtning': True}",https://lh5.googleusercontent.com/p/AF1QipNTVJxH7ONz8knIWTxllxI6Cr00uD8Y3Im1DtOE=w138-h92-k-no,,,
10,Restaurang & Vinbaren 28+,ChIJjzXsl3HzT0YR6P0TkaM4BpY,0x464ff37197ec358f:0x960638a39113fde8,10810390230714285544,https://serpapi.com/search.json?data_id=0x464ff37197ec358f%3A0x960638a39113fde8&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff37197ec358f%3A0x960638a39113fde8&engine=google_maps_photos&hl=sv,"{'latitude': 57.6982017, 'longitude': 11.973998}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff37197ec358f%3A0x960638a39113fde8%218m2%213d57.6982017%214d11.973998&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.6,218.0,$$$$,Exklusiv restaurang,"Götabergsgatan 28, 411 34 Göteborg, Sverige",Öppet ⋅ Stänger 01,Öppet ⋅ Stänger 01,"{'torsdag': '18–01', 'fredag': '18–01', 'lördag': '18–01', 'söndag': 'Stängt', 'måndag': 'Stängt', 'tisdag': '18–01', 'onsdag': '18–01'}",+46 31 20 21 61,http://28plus.se/,"{'servering': True, 'hämtning_utanför': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipNH12H4SZcw7qpR5oe2XxxmlYBX-3zfWWdMvOuq=w122-h92-k-no,,,
11,Tranquilo,ChIJVwuKeGXzT0YRjxJ3N3PUrGg,0x464ff365788a0b57:0x68acd4733777128f,7542637067255616143,https://serpapi.com/search.json?data_id=0x464ff365788a0b57%3A0x68acd4733777128f&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff365788a0b57%3A0x68acd4733777128f&engine=google_maps_photos&hl=sv,"{'latitude': 57.7035949, 'longitude': 11.9688956}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff365788a0b57%3A0x68acd4733777128f%218m2%213d57.7035949%214d11.9688956&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.0,981.0,$$,Sydamerikansk restaurang,"Kungstorget 14, 411 10 Göteborg, Sverige",Öppet ⋅ Stänger 23,Öppet ⋅ Stänger 23,"{'torsdag': '16–23', 'fredag': '15–03', 'lördag': '12–03', 'söndag': 'Stängt', 'måndag': 'Stängt', 'tisdag': '16–23', 'onsdag': '16–23'}",+46 31 13 45 55,http://www.tranquilo.se/,"{'servering': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipN9asRnr25YZnrd77cNC2Y4rrI6PA4IzDgibuJy=w122-h92-k-no,,,
