,position,title,place_id,data_id,data_cid,reviews_link,photos_link,gps_coordinates,place_id_search,rating,reviews,unclaimed_listing,type,address,open_state,hours,operating_hours,phone,website,service_options,thumbnail,price,description,user_review,Unnamed: 0.1,Unnamed: 0
0,2,Restaurang Waterfront,ChIJIRotbcyMT0YRUC7jR0cJffA,0x464f8ccc6d2d1a21:0xf07d094747e32e50,17329017142944935504,https://serpapi.com/search.json?data_id=0x464f8ccc6d2d1a21%3A0xf07d094747e32e50&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464f8ccc6d2d1a21%3A0xf07d094747e32e50&engine=google_maps_photos&hl=sv,"{'latitude': 57.690385799999994, 'longitude': 11.9069893}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464f8ccc6d2d1a21%3A0xf07d094747e32e50%218m2%213d57.690385799999994%214d11.9069893&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.2,55.0,True,Restaurang,"Adolf Edelsvärds gata 11, 414 51 Göteborg, Sverige",Öppet ⋅ Stänger 23,Öppet ⋅ Stänger 23,"{'fredag': '14–23', 'lördag': '15–23', 'söndag': 'Stängt', 'måndag': '17–22', 'tisdag': '17–22', 'onsdag': '17–22', 'torsdag': '17–22'}",+46 31 720 22 00,https://www.nordicchoicehotels.se/hotell/sverige/goteborg/quality-hotel-waterfront/faciliteter/restaurang-waterfront/,"{'servering': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipO9L9TvsHMXFNCitBcd8PPJAP8VdWpF-b919kCW=w122-h92-k-no,,,,,
1,3,Tapasbaren,ChIJPUWWEjLzT0YREa6HhxHE0S8,0x464ff3321296453d:0x2fd1c4118787ae11,3445750769482444305,https://serpapi.com/search.json?data_id=0x464ff3321296453d%3A0x2fd1c4118787ae11&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff3321296453d%3A0x2fd1c4118787ae11&engine=google_maps_photos&hl=sv,"{'latitude': 57.6855796, 'longitude': 11.9183072}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff3321296453d%3A0x2fd1c4118787ae11%218m2%213d57.6855796%214d11.9183072&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.4,372.0,,Tapasbar,"Mariagatan 17, 414 71 Göteborg, Sverige",Öppet ⋅ Stänger 01,Öppet ⋅ Stänger 01,"{'fredag': '17–01', 'lördag': '15–01', 'söndag': '17–01', 'måndag': '17–01', 'tisdag': '17–01', 'onsdag': '17–01', 'torsdag': '17–01'}",+46 31 42 42 11,http://tapasbaren.se/,"{'servering': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipM6Sp2PsxdLSt8Y0NTxM4ODTDTBegpsRU0wj8-Y=w122-h92-k-no,$$,,,,
2,4,Röda Sten Restaurang,ChIJg7teV8WNT0YRTN37ZQPNrCM,0x464f8dc5575ebb83:0x23accd0365fbdd4c,2570654901801311564,https://serpapi.com/search.json?data_id=0x464f8dc5575ebb83%3A0x23accd0365fbdd4c&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464f8dc5575ebb83%3A0x23accd0365fbdd4c&engine=google_maps_photos&hl=sv,"{'latitude': 57.6891544, 'longitude': 11.9013504}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464f8dc5575ebb83%3A0x23accd0365fbdd4c%218m2%213d57.6891544%214d11.9013504&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.3,1343.0,,Restaurang,"Röda Sten 1, 414 51 Göteborg, Sverige",Stängt ⋅ Öppnar lör kl. 12,Stängt ⋅ Öppnar lör kl. 12,"{'fredag': '11:30–15', 'lördag': '12–17', 'söndag': '12–17', 'måndag': '11:30–15', 'tisdag': '11:30–15', 'onsdag': '11:30–15', 'torsdag': '11:30–15'}",+46 31 12 00 12,http://rrs.nu/,"{'servering': True, 'avhämtning': True}",https://lh5.googleusercontent.com/p/AF1QipPh1Juq0UqVZWER2kSz9FrpDl-aZZ2x4g3k3oM0=w80-h106-k-no,,,,,
3,5,Porter Pelle,ChIJIRotbcyMT0YRhk04R9R5uF0,0x464f8ccc6d2d1a21:0x5db879d447384d86,6753281593876958598,https://serpapi.com/search.json?data_id=0x464f8ccc6d2d1a21%3A0x5db879d447384d86&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464f8ccc6d2d1a21%3A0x5db879d447384d86&engine=google_maps_photos&hl=sv,"{'latitude': 57.6906342, 'longitude': 11.907280499999999}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464f8ccc6d2d1a21%3A0x5db879d447384d86%218m2%213d57.6906342%214d11.907280499999999&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.3,743.0,,Restaurang,"Adolf Edelsvärds gata 11, 414 51 Göteborg, Sverige",Öppet ⋅ Stänger 23,Öppet ⋅ Stänger 23,"{'fredag': '11–23', 'lördag': '11–23', 'söndag': '11–20', 'måndag': '11–15', 'tisdag': '11–23', 'onsdag': '11–23', 'torsdag': '11–23'}",+46 31 18 02 00,http://www.porterpelle.se/,"{'servering': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipMk14B5xGoQVYFo7a6-Zu9RnQMsFyNuzu35wFql=w122-h92-k-no,$$,,,,
4,6,Enoteca Maglia,ChIJmbk8gDHzT0YRBDsTouH81cc,0x464ff331803cb999:0xc7d5fce1a2133b04,14399693429604039428,https://serpapi.com/search.json?data_id=0x464ff331803cb999%3A0xc7d5fce1a2133b04&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff331803cb999%3A0xc7d5fce1a2133b04&engine=google_maps_photos&hl=sv,"{'latitude': 57.687490999999994, 'longitude': 11.921496399999999}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff331803cb999%3A0xc7d5fce1a2133b04%218m2%213d57.687490999999994%214d11.921496399999999&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.2,1059.0,,Italiensk restaurang,"Slottsskogsgatan 46, 414 70 Göteborg, Sverige",Öppet ⋅ Stänger 01,Öppet ⋅ Stänger 01,"{'fredag': '11:30–01', 'lördag': '13–01', 'söndag': '15–22', 'måndag': '11:30–00', 'tisdag': '11:30–00', 'onsdag': '11:30–00', 'torsdag': '11:30–00'}",+46 31 14 24 00,http://www.enotecamaglia.se/,"{'servering': True, 'hämtning_utanför': True, 'kontaktfri_leverans': True}",https://lh5.googleusercontent.com/p/AF1QipNsGgBqhDoy7ewK_q8ve8IFag9uAeboOTYoIapc=w163-h92-k-no,$$$,,,,
5,7,Ankarsmedjan Social,ChIJ22q4mKSNT0YRMWRSuomhzbE,0x464f8da498b86adb:0xb1cda189ba526431,12812074127847482417,https://serpapi.com/search.json?data_id=0x464f8da498b86adb%3A0xb1cda189ba526431&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464f8da498b86adb%3A0xb1cda189ba526431&engine=google_maps_photos&hl=sv,"{'latitude': 57.691301599999996, 'longitude': 11.9114664}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464f8da498b86adb%3A0xb1cda189ba526431%218m2%213d57.691301599999996%214d11.9114664&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.5,19.0,,Restaurang,"Klippan 30, 414 51 Göteborg, Sverige",,,,+46 31 20 20 20,http://ankarsmedjansocial.se/,"{'servering': True, 'hämtning_utanför': True, 'hemkörning': True}",https://lh5.googleusercontent.com/p/AF1QipNmnpbI1_gW2NmiHIPbNfzC1h5hHxBS3Z2UAXhx=w130-h92-k-no,,,,,
6,8,Cyrano Majorna,ChIJ4ej24TTzT0YRLl5htsgNXWQ,0x464ff334e1f6e8e1:0x645d0dc8b6615e2e,7231951732331339310,https://serpapi.com/search.json?data_id=0x464ff334e1f6e8e1%3A0x645d0dc8b6615e2e&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff334e1f6e8e1%3A0x645d0dc8b6615e2e&engine=google_maps_photos&hl=sv,"{'latitude': 57.6933991, 'longitude': 11.9180125}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff334e1f6e8e1%3A0x645d0dc8b6615e2e%218m2%213d57.6933991%214d11.9180125&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.0,409.0,,Fransk restaurang,"Karl Johansgatan 61, 414 55 Göteborg, Sverige",Öppet ⋅ Stänger 23,Öppet ⋅ Stänger 23,"{'fredag': '11–23', 'lördag': '12–23', 'söndag': '12–21', 'måndag': '11–22', 'tisdag': '11–22', 'onsdag': '11–22', 'torsdag': '11–22'}",+46 31 12 81 00,https://cyrano.se/Restaurant/Detail?Url=cyrano-majorna#mainmenucategory,"{'servering': True, 'avhämtning': True, 'hemkörning': True}",https://lh5.googleusercontent.com/p/AF1QipP43yoGkWqJgcbg1OnTpoLHNYOIh3tCIXRHz4z3=w138-h92-k-no,$$,,,,
7,9,Restaurang Piga,ChIJw88j17WMT0YRHlJwW7Nw2zw,0x464f8cb5d723cfc3:0x3cdb70b35b70521e,4385222577810854430,https://serpapi.com/search.json?data_id=0x464f8cb5d723cfc3%3A0x3cdb70b35b70521e&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464f8cb5d723cfc3%3A0x3cdb70b35b70521e&engine=google_maps_photos&hl=sv,"{'latitude': 57.6998021, 'longitude': 11.9094758}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464f8cb5d723cfc3%3A0x3cdb70b35b70521e%218m2%213d57.6998021%214d11.9094758&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.6,711.0,,Restaurang,"Ostindiefararen 11, 417 65 Göteborg, Sverige",Öppet ⋅ Stänger 23,Öppet ⋅ Stänger 23,"{'fredag': '17–23', 'lördag': '13–23', 'söndag': '13–23', 'måndag': '17–23', 'tisdag': '17–23', 'onsdag': '17–23', 'torsdag': '17–23'}",+46 31 23 04 44,http://www.restaurangpiga.se/,"{'servering': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipNPC8PyjxxkuXHwH6RkoVcrsSK6YDpDATXNGBJ8=w122-h92-k-no,$$,,,,
8,10,Del Piero Restaurang & Pizzeria,ChIJa_J9oTTzT0YRF3rnJejpSK4,0x464ff334a17df26b:0xae48e9e825e77a17,12558544744200239639,https://serpapi.com/search.json?data_id=0x464ff334a17df26b%3A0xae48e9e825e77a17&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff334a17df26b%3A0xae48e9e825e77a17&engine=google_maps_photos&hl=sv,"{'latitude': 57.691145899999995, 'longitude': 11.916051099999999}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff334a17df26b%3A0xae48e9e825e77a17%218m2%213d57.691145899999995%214d11.916051099999999&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.0,432.0,,Pizzeria,"Jaegerdorffsplatsen 1D, 414 51 Göteborg, Sverige",Öppet ⋅ Stänger 21,Öppet ⋅ Stänger 21,"{'fredag': '11–21', 'lördag': '12–21', 'söndag': '12–21', 'måndag': '11–21', 'tisdag': '11–21', 'onsdag': '11–21', 'torsdag': '11–21'}",+46 31 14 02 75,http://www.delpiero.se/,"{'servering': True, 'avhämtning': True, 'hemkörning': True}",https://lh5.googleusercontent.com/p/AF1QipPkPxhcWOhL3qlqve3SoHymDcz6EfCOWDgZKrFg=w80-h142-k-no,$$,,,,
9,11,Efessos Taverna,ChIJdWg0izXzT0YRnlqUoTrAP0M,0x464ff3358b346875:0x433fc03aa1945a9e,4845803082125433502,https://serpapi.com/search.json?data_id=0x464ff3358b346875%3A0x433fc03aa1945a9e&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff3358b346875%3A0x433fc03aa1945a9e&engine=google_maps_photos&hl=sv,"{'latitude': 57.695524999999996, 'longitude': 11.9227218}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff3358b346875%3A0x433fc03aa1945a9e%218m2%213d57.695524999999996%214d11.9227218&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.5,748.0,,Grekisk restaurang,"Karl Johansgatan 60, 414 55 Göteborg, Sverige",Öppet ⋅ Stänger 00,Öppet ⋅ Stänger 00,"{'fredag': '16–00', 'lördag': '14–00', 'söndag': '14–22', 'måndag': '16–23', 'tisdag': '16–23', 'onsdag': '16–23', 'torsdag': '16–23'}",+46 31 12 99 78,http://www.efessos.se/,"{'servering': True, 'avhämtning': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipMKI2Stiz9C285mx6kzYg2gjZaf7pj2JMPPpNzD=w137-h92-k-no,$$,,,,
